id;name;category;main_imagen;images;sizes;price;sku;updated_at;alt_text
17;Libro de Testigos;Boda;https://pedidos.colorexlab.com/4148-large_default/libro-de-testigos.jpg;"https://pedidos.colorexlab.com/4148-home_default/libro-de-testigos.jpg
https://pedidos.colorexlab.com/4149-home_default/libro-de-testigos.jpg
https://pedidos.colorexlab.com/4150-home_default/libro-de-testigos.jpg
https://pedidos.colorexlab.com/4151-home_default/libro-de-testigos.jpg";33x33   25x36 V;;;;
18;Lino Combinado;Boda;https://pedidos.colorexlab.com/4555-large_default/lino-combinado.jpg;"https://pedidos.colorexlab.com/4555-home_default/lino-combinado.jpg
https://pedidos.colorexlab.com/4417-home_default/lino-combinado.jpg
https://pedidos.colorexlab.com/1702-home_default/lino-combinado.jpg
https://pedidos.colorexlab.com/4420-home_default/lino-combinado.jpg";30x30   25x35   35x25   36x29   35x35   30x40   40x30;;;;
19;Lino Combinado Fotopegada;Boda;https://pedidos.colorexlab.com/1377-large_default/lino-combinado-fotopegada.jpg;"https://pedidos.colorexlab.com/1377-home_default/lino-combinado-fotopegada.jpg
https://pedidos.colorexlab.com/4486-home_default/lino-combinado-fotopegada.jpg
https://pedidos.colorexlab.com/4487-home_default/lino-combinado-fotopegada.jpg
https://pedidos.colorexlab.com/4488-home_default/lino-combinado-fotopegada.jpg";30x25   25x25   35x25   35x35;;;;
20;Lino Vintage;Boda;https://pedidos.colorexlab.com/4009-large_default/lino-vintage.jpg;"https://pedidos.colorexlab.com/4009-home_default/lino-vintage.jpg
https://pedidos.colorexlab.com/4010-home_default/lino-vintage.jpg
https://pedidos.colorexlab.com/4011-home_default/lino-vintage.jpg
https://pedidos.colorexlab.com/4012-home_default/lino-vintage.jpg";30x30   35x25   36x29   35x35   30x40   40x30;;;;
21;Lino Vintage Fotopegada;Boda;https://pedidos.colorexlab.com/4023-large_default/lino-vintage-fotopegada.jpg;"https://pedidos.colorexlab.com/4023-home_default/lino-vintage-fotopegada.jpg
https://pedidos.colorexlab.com/4024-home_default/lino-vintage-fotopegada.jpg
https://pedidos.colorexlab.com/1529-home_default/lino-vintage-fotopegada.jpg
https://pedidos.colorexlab.com/4025-home_default/lino-vintage-fotopegada.jpg";30x25   35x25   35x35;;;;
22;Mármara;Boda;https://pedidos.colorexlab.com/4169-large_default/marmara.jpg;"https://pedidos.colorexlab.com/4169-home_default/marmara.jpg
https://pedidos.colorexlab.com/4170-home_default/marmara.jpg";30x30   35x25   40x30;;;;
23;Minimalista;Boda;https://pedidos.colorexlab.com/4386-large_default/minimalista.jpg;"https://pedidos.colorexlab.com/4386-home_default/minimalista.jpg
https://pedidos.colorexlab.com/4387-home_default/minimalista.jpg
https://pedidos.colorexlab.com/4388-home_default/minimalista.jpg
https://pedidos.colorexlab.com/4389-home_default/minimalista.jpg";30x30   25x35 V   35x25   29x36 V   36x29   35x35   30x40 V   40x30;;;;
24;Minimalista Fotopegada;Boda;https://pedidos.colorexlab.com/4484-large_default/minimalista-fotopegada.jpg;"https://pedidos.colorexlab.com/4484-home_default/minimalista-fotopegada.jpg
https://pedidos.colorexlab.com/1545-home_default/minimalista-fotopegada.jpg
https://pedidos.colorexlab.com/4478-home_default/minimalista-fotopegada.jpg
https://pedidos.colorexlab.com/1546-home_default/minimalista-fotopegada.jpg";30x25   35x25   35x35;;;;
25;NUEVO Wood Nature;Boda;https://pedidos.colorexlab.com/4156-large_default/wood-nature.jpg;"https://pedidos.colorexlab.com/4156-home_default/wood-nature.jpg
https://pedidos.colorexlab.com/4157-home_default/wood-nature.jpg
https://pedidos.colorexlab.com/4158-home_default/wood-nature.jpg
https://pedidos.colorexlab.com/4159-home_default/wood-nature.jpg";30x30   35x25   35x35   40x30;;;;
26;Oriel;Boda;https://pedidos.colorexlab.com/1449-large_default/oriel.jpg;"https://pedidos.colorexlab.com/1449-home_default/oriel.jpg
https://pedidos.colorexlab.com/4549-home_default/oriel.jpg
https://pedidos.colorexlab.com/1444-home_default/oriel.jpg
https://pedidos.colorexlab.com/4108-home_default/oriel.jpg";30x30   35x25   36x29   35x35   30x40 V   40x30;;;;
27;Pack 1 - Love Family;Boda;https://pedidos.colorexlab.com/2183-large_default/pack-uno-love-family.jpg;"https://pedidos.colorexlab.com/2183-home_default/pack-uno-love-family.jpg
https://pedidos.colorexlab.com/2184-home_default/pack-uno-love-family.jpg
https://pedidos.colorexlab.com/2185-home_default/pack-uno-love-family.jpg
https://pedidos.colorexlab.com/2186-home_default/pack-uno-love-family.jpg";Álbum 30x30 + 2 Álbumes Familiares 25x25   Álbum 35x25 + 2 Álbumes Familiares 26x20   Álbum 35x35 + 2 Álbumes Familiares 25x25   Álbum 30x40 V + 2 Álbumes Familiares 19x26 V   Álbum 40x30 + 2 Álbumes Familiares 26x19;;;;
28;Pack 2 - Watercolor;Boda;https://pedidos.colorexlab.com/2208-large_default/pack-dos-watercolor.jpg;"https://pedidos.colorexlab.com/2208-home_default/pack-dos-watercolor.jpg
https://pedidos.colorexlab.com/2206-home_default/pack-dos-watercolor.jpg
https://pedidos.colorexlab.com/2207-home_default/pack-dos-watercolor.jpg
https://pedidos.colorexlab.com/5001-home_default/pack-dos-watercolor.jpg";Álbum 30x30 + 2 Álbumes Familiares 25x25   Álbum 35x25 + 2 Álbumes Familiares 26x20;;;;
29;Pack 3 - Colorex;Boda;https://pedidos.colorexlab.com/4236-large_default/pack-tres-colorex.jpg;"https://pedidos.colorexlab.com/4236-home_default/pack-tres-colorex.jpg
https://pedidos.colorexlab.com/2224-home_default/pack-tres-colorex.jpg
https://pedidos.colorexlab.com/2212-home_default/pack-tres-colorex.jpg
https://pedidos.colorexlab.com/5002-home_default/pack-tres-colorex.jpg";Álbum 30x30 + 2 Álbumes Familiares 25x25   Álbum 35x25 + 2 Álbumes Familiares 26x20   Álbum 35x35 + 2 Álbumes Familiares 25x25   Álbum 30x40 V + 2 Álbumes Familiares 19x26 V   Álbum 40x30 + 2 Álbumes Familiares 26x19;;;;
